dataset,subgroup,n_reports,n_test_sum,delta_mean,delta_ci95_low,delta_ci95_high,harm_lt0
ecgarr,age=40-59,1000,1040400,0.005419922391253266,0.004690133309747892,0.006158279451057285,0.019
ecgarr,age=60+,1000,2206400,0.0031599538948335433,0.0027117704767551224,0.003597479309462833,0.019
ecgarr,age=<40,1000,448800,0.004970626241295449,0.00385342140796296,0.006129746161362887,0.065
ecgarr,sex=F,1000,1741600,0.00512991881629843,0.0044408434425217995,0.005848873601504339,0.011
ecgarr,sex=M,1000,1957000,0.003877002610472081,0.003377379577071455,0.004394806603256771,0.017
ecgarr,sex=M_age=60+,1000,1227400,0.002785764685025094,0.0023837404982972325,0.003188702059984021,0.024
leipzig,age=<40,1000,6600,0.004733134920634921,-0.0031069637896825406,0.012825012896825395,0.265
leipzig,sex=F,800,3400,0.017265625,0.007899088541666668,0.028056857638888887,0.1825
leipzig,sex=M,1000,4400,0.00022708333333333375,-0.006965104166666666,0.007520208333333333,0.24
