dataset,mode,n_reports,deploy_rate,deploy_lo,deploy_hi,mean_test_primary,mean_real_only_test_primary,mean_delta,mean_delta_lo,mean_delta_hi,deploy_only_mean_delta,deploy_only_delta_lo,deploy_only_delta_hi,harm_rate_lt0,harm_lo,harm_hi,harm_rate_lt_0p01,severe_harm_lo,severe_harm_hi,policy_manifest_sha256,dataset_y_base,policy,policy_offset,y,delta_pp,delta_pp_lo,delta_pp_hi,harm_pct,harm_pct_lo,harm_pct_hi,severe_pct,severe_pct_lo,severe_pct_hi,deploy_pct,deploy_pct_lo,deploy_pct_hi
ecgarr,baseline_rla,1000,0.192,0.168,0.217,0.296336228968018,0.291525489631221,0.00481073933679696,0.003992987070184978,0.005677288481018766,0.0250559340458175,0.021995065216330743,0.02816922142389389,0.007,0.002,0.013,0,0,0,1170d044a59e4c26da0b21433d06e240c04c67ca3fc320857de7382153335e12,4,Certified RLA,0.2,4.2,0.481073933679696,0.39929870701849784,0.5677288481018765,0.7000000000000001,0.2,1.3,0,0,0,19.2,16.8,21.7
ecgarr,no_cert,1000,0.597,0.566,0.627,0.2978604854388716,0.2906689104335908,0.007191575005280745,0.006217912159761914,0.008189397161136935,0.012046189288577461,0.01054441002315547,0.013595138602130219,0.135,0.114,0.156,0.034,0.023,0.046,1170d044a59e4c26da0b21433d06e240c04c67ca3fc320857de7382153335e12,4,Utility-only,0,4,0.7191575005280745,0.6217912159761914,0.8189397161136934,13.5,11.4,15.6,3.4000000000000004,2.3,4.6,59.699999999999996,56.599999999999994,62.7
ecgarr,always_aug_r010,1000,1,1,1,0.2857595342835497,0.2877519201510555,-0.001992385867505763,-0.0032103449225539186,-7.718201555329648e-4,-0.001992385867505763,-0.0032018770390381153,-7.762334772802416e-4,0.545,0.514,0.575,0.271,0.244,0.299,1170d044a59e4c26da0b21433d06e240c04c67ca3fc320857de7382153335e12,4,Always-on r=0.10,-0.2,3.8,-0.19923858675057632,-0.3210344922553919,-0.07718201555329647,54.50000000000001,51.4,57.49999999999999,27.1,24.4,29.9,100,100,100
cpsc2018,baseline_rla,1000,0.273,0.246,0.301,0.2984900597824582,0.287252931506878,0.01123712827558015,0.00975752219743137,0.01275614148271889,0.04116164203509215,0.03742519369936196,0.04483303892138224,0.013,0.007,0.02,0.002,0,0.005,078ec0504d6026e00ec77338add2e5a0d39d76ae212a557673ea429f4e63613c,3,Certified RLA,0.2,3.2,1.123712827558015,0.975752219743137,1.275614148271889,1.3,0.7000000000000001,2,0.2,0,0.5,27.3,24.6,30.099999999999998
cpsc2018,no_cert,1000,0.702,0.674,0.73,0.3011543012458251,0.2883238596879018,0.01283044155792326,0.01130871514599901,0.01439605058281099,0.01827698227624397,0.01619675869057417,0.02036381951707999,0.182,0.159,0.206,0.071,0.056,0.087,078ec0504d6026e00ec77338add2e5a0d39d76ae212a557673ea429f4e63613c,3,Utility-only,0,3,1.283044155792326,1.130871514599901,1.4396050582810989,18.2,15.9,20.599999999999998,7.1,5.6000000000000005,8.7,70.19999999999999,67.4,73
cpsc2018,always_aug_r010,1000,1,1,1,0.27894231845980183,0.2855584762846658,-0.006616157824864,-0.0085034303532971,-0.0048085919929095,-0.006616157824864,-0.00852005423525443,-0.0047960477488503,0.576,0.545,0.607,0.364,0.335,0.394,078ec0504d6026e00ec77338add2e5a0d39d76ae212a557673ea429f4e63613c,3,Always-on r=0.10,-0.2,2.8,-0.6616157824864,-0.8503430353297099,-0.48085919929095006,57.599999999999994,54.50000000000001,60.699999999999996,36.4,33.5,39.4,100,100,100
chapman_shaoxing,baseline_rla,1000,0.215,0.19,0.24,0.29153743546171573,0.2816571933471722,0.00988024211454356,0.0083211960368626,0.01151843790248701,0.04595461448624909,0.04077606631075232,0.05117314568711784,0.011,0.005,0.018,0.003,0,0.007,078ec0504d6026e00ec77338add2e5a0d39d76ae212a557673ea429f4e63613c,2,Certified RLA,0.2,2.2,0.9880242114543559,0.8321196036862599,1.151843790248701,1.0999999999999999,0.5,1.7999999999999998,0.3,0,0.7000000000000001,21.5,19,24
chapman_shaoxing,no_cert,1000,0.638,0.607,0.668,0.29168212080221423,0.28029307258876235,0.01138904821345188,0.00967386232507994,0.01311506559757634,0.01785117274835718,0.01533686831116876,0.02041542792214111,0.184,0.16,0.208,0.083,0.066,0.1,078ec0504d6026e00ec77338add2e5a0d39d76ae212a557673ea429f4e63613c,2,Utility-only,0,2,1.138904821345188,0.967386232507994,1.3115065597576339,18.4,16,20.8,8.3,6.6000000000000005,10,63.800000000000004,60.699999999999996,66.8
chapman_shaoxing,always_aug_r010,1000,1,1,1,0.2754703461324519,0.2830978605936334,-0.00762751446118147,-0.00969299701219107,-0.00554585162203942,-0.00762751446118147,-0.00973519712797073,-0.0055312624444579,0.629,0.599,0.659,0.443,0.412,0.474,078ec0504d6026e00ec77338add2e5a0d39d76ae212a557673ea429f4e63613c,2,Always-on r=0.10,-0.2,1.8,-0.762751446118147,-0.9692997012191069,-0.554585162203942,62.9,59.9,65.9,44.3,41.199999999999996,47.4,100,100,100
g12ec,baseline_rla,1000,0.088,0.071,0.106,0.3668460354886678,0.36450355436112847,0.0023424811275393,0.00167254827677655,0.00310306791737213,0.02661910372203753,0.02068085582260914,0.03307532039695397,0.011,0.005,0.018,0.006,0.002,0.011,078ec0504d6026e00ec77338add2e5a0d39d76ae212a557673ea429f4e63613c,1,Certified RLA,0.2,1.2,0.23424811275392998,0.167254827677655,0.310306791737213,1.0999999999999999,0.5,1.7999999999999998,0.6,0.2,1.0999999999999999,8.799999999999999,7.1,10.6
g12ec,no_cert,1000,0.356,0.327,0.3850249999999996,0.3701069931432611,0.3668563739394649,0.00325061920379621,0.00250348149547761,0.00408911180592627,0.00913095281965229,0.00710498660580016,0.01126000296085323,0.107,0.088,0.126,0.034,0.023,0.045,078ec0504d6026e00ec77338add2e5a0d39d76ae212a557673ea429f4e63613c,1,Utility-only,0,1,0.325061920379621,0.250348149547761,0.408911180592627,10.7,8.799999999999999,12.6,3.4000000000000004,2.3,4.5,35.6,32.7,38.50249999999996
g12ec,always_aug_r010,1000,1,1,1,0.34692956563680927,0.3664560732742625,-0.01952650763745321,-0.02119902803782059,-0.01790473442610376,-0.01952650763745321,-0.02113263888157634,-0.01785053472749153,0.773,0.747,0.799,0.597,0.567,0.627,078ec0504d6026e00ec77338add2e5a0d39d76ae212a557673ea429f4e63613c,1,Always-on r=0.10,-0.2,0.8,-1.952650763745321,-2.119902803782059,-1.7904734426103759,77.3,74.7,79.9,59.699999999999996,56.699999999999996,62.7,100,100,100
